energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
707.3,2.417,1.55227,1.20478,1.22553,1.25943,688.95,1.13456,1.00424,1.24219,1.27067,1.23487,537.2,1.20478,1.2727,1.53208,1.64229,1.64118,288.95,2.76433,2.33852,2.70207,2.65131,2.55455
707.4,2.32667,1.58047,1.22189,1.22971,1.20714,689.1,1.14462,1.04981,1.1965,1.26771,1.26967,537.4,1.20578,1.31711,1.61769,1.61971,1.58029,289.1,2.77967,2.36832,2.60761,2.63531,2.54245
707.5,2.30556,1.67073,1.20933,1.28376,1.27886,689.25,1.12613,1.05281,1.23465,1.26643,1.22267,537.6,1.19933,1.30993,1.60615,1.62329,1.59071,289.25,2.7065,2.28696,2.61804,2.63815,2.65575
707.6,2.37033,1.6912,1.23567,1.26565,1.288,689.4,1.12756,1.02652,1.27538,1.25971,1.28353,537.8,1.18428,1.27511,1.56146,1.58043,1.55447,289.4,2.7328,2.28452,2.41446,2.52915,2.54065
707.7,2.29789,1.5756,1.30867,1.26729,1.28271,689.55,1.13162,1.05581,1.25069,1.29214,1.2838,538,1.201,1.28933,1.54669,1.63086,1.54794,289.55,2.72007,2.2872,2.45407,2.624,2.5554
707.8,2.35022,1.66873,1.23144,1.24947,1.26771,689.7,1.12094,1.076,1.22981,1.26771,1.26593,538.2,1.17594,1.31952,1.52508,1.61829,1.57182,289.7,2.66603,2.26464,2.3685,2.59415,2.5492
707.9,2.40433,1.82067,1.23256,1.29918,1.22386,689.85,1.1525,1.11671,1.24535,1.27881,1.26267,538.4,1.2055,1.34874,1.59585,1.62043,1.52476,289.85,2.6712,2.227,2.40818,2.58462,2.49505
708,2.45578,1.80533,1.37633,1.252,1.23971,690,1.1035,1.05067,1.25196,1.28343,1.28793,538.6,1.18061,1.3197,1.55731,1.56686,1.55406,290,2.64847,2.303,2.55207,2.53638,2.5915
708.1,2.39244,1.7488,1.39033,1.28329,1.28186,690.15,1.15281,1.109,1.26192,1.25067,1.29733,538.8,1.22378,1.354,1.60238,1.58857,1.556,290.15,2.6263,2.25248,2.43011,2.603,2.54905
708.2,2.40833,1.92987,1.41033,1.31241,1.26771,690.3,1.16325,1.08243,1.24508,1.30348,1.2006,539,1.20372,1.34374,1.59646,1.62629,1.60906,290.3,2.647,2.2862,2.52243,2.53254,2.5069
708.3,2.35389,1.7754,1.33167,1.22359,1.236,690.45,1.14162,1.07933,1.26096,1.30571,1.28233,539.2,1.20506,1.38974,1.58623,1.59971,1.53194,290.45,2.64443,2.32732,2.45243,2.53131,2.5303
708.4,2.34933,1.74133,1.35533,1.28471,1.23014,690.6,1.19025,1.10776,1.25096,1.29248,1.27027,539.4,1.2075,1.36381,1.60646,1.60971,1.53435,290.6,2.63117,2.24564,2.45507,2.40746,2.54095
708.5,2.30878,1.90947,1.36611,1.23271,1.26314,690.75,1.16356,1.0761,1.22954,1.24,1.2294,539.6,1.23033,1.36404,1.62477,1.59214,1.56606,290.75,2.48233,2.42744,2.52057,2.51531,2.5115
708.6,2.36167,2.05647,1.47956,1.32341,1.24871,690.9,1.13569,1.114,1.25858,1.27262,1.26373,539.8,1.20567,1.33767,1.61308,1.61214,1.53206,290.9,2.52767,2.27396,2.42754,2.52892,2.43785
708.7,2.55767,1.87807,1.43911,1.27159,1.27057,691.05,1.17006,1.1309,1.27065,1.27871,1.25973,540,1.21661,1.39311,1.599,1.59143,1.58518,291.05,2.58013,2.26548,2.50043,2.50569,2.4877
708.8,2.38911,1.89327,1.43733,1.31976,1.27614,691.2,1.1345,1.1071,1.23569,1.28852,1.26967,540.2,1.18567,1.38019,1.63677,1.61214,1.54347,291.2,2.55137,2.36176,2.62114,2.51892,2.4868
