Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
532.0,0.0,-1.140272119870523,1.1402924785810373
532.02,0.0,-1.140250684551164,1.140271046986968
532.04,0.0,-1.1402292529570945,1.1402496116676089
532.0600000000001,0.0,-1.1402078213630256,1.1402281837988295
532.08,0.0,-1.1401863934942464,1.1402067484794707
532.1,0.0,-1.1401649656254675,1.1401853206106913
532.12,0.0,-1.1401435377566886,1.1401638964672027
532.14,0.0,-1.1401221136131998,1.1401424648731338
532.16,0.0,-1.140100689469711,1.1401210444549348
532.1800000000001,0.0,-1.1400792653262217,1.1400996165861559
532.2,0.0,-1.1400578486333135,1.1400781961679571
532.22,0.0,-1.1400364244898247,1.1400567757497584
532.24,0.0,-1.1400150077969158,1.1400353553315599
532.26,0.0,-1.1399935836534272,1.140013934913361
532.28,0.0,-1.1399721669605183,1.1399925144951624
532.3,0.0,-1.1399507539928997,1.1399710940769632
532.32,0.0,-1.1399293372999915,1.139949684834635
532.34,0.0,-1.1399079243323729,1.1399282644164366
532.36,0.0,-1.1398865113647543,1.1399068551741078
532.38,0.0,-1.139865102122426,1.1398854422064895
532.4,0.0,-1.1398436928800975,1.1398640292388713
532.42,0.0,-1.1398222836377694,1.1398426237218326
532.44,0.0,-1.139800878120731,1.1398212144795046
532.46,0.0,-1.1397794688784026,1.1397998052371756
532.48,0.0,-1.1397580670866547,1.1397783997201376
532.5,0.0,-1.1397366652949061,1.1397569979283897
532.52,0.0,-1.1397152597778681,1.139735592411351
532.54,0.0,-1.13969385426083,1.1397141906196033
532.5600000000001,0.0,-1.1396724561943716,1.139692785102565
532.58,0.0,-1.1396510581279138,1.1396713870361068
532.6,0.0,-1.1396296600614557,1.139649988969649
532.62,0.0,-1.1396082657202877,1.1396285871779008
532.64,0.0,-1.1395868676538299,1.1396071965620227
532.66,0.0,-1.1395654770379524,1.1395857984955649
532.6800000000001,0.0,-1.139544082696784,1.1395644078796874
532.7,0.0,-1.1395226883556164,1.1395430135385192
532.72,0.0,-1.139501301465029,1.1395216191973514
532.74,0.0,-1.1394799108491507,1.139500232306764
532.76,0.0,-1.139458520233273,1.1394788379655958
532.78,0.0,-1.1394371333426856,1.1394574510750082
532.8,0.0,-1.139415750177388,1.1394360641844206
532.82,0.0,-1.1393943632868002,1.1394146810191232
532.84,0.0,-1.139372980121503,1.1393932941285354
532.86,0.0,-1.1393516006814952,1.1393719109632379
532.88,0.0,-1.1393302212414878,1.1393505315232306
532.9,0.0,-1.1393088418014805,1.139329152083223
532.92,0.0,-1.1392874586361832,1.1393077726432157
532.94,0.0,-1.1392660829214656,1.1392863932032082
532.96,0.0,-1.1392447072067484,1.1392650137632008
532.98,0.0,-1.1392233352173213,1.1392436380484836
533.0,0.0,-1.139201955777314,1.1392222660590563
533.02,0.0,-1.139180591238467,1.1392008866190493
533.04,0.0,-1.1391592117984595,1.139179522080202
533.0600000000001,0.0,-1.1391378509849028,1.1391581426401947
533.08,0.0,-1.1391164678196053,1.139136781826638
533.1,0.0,-1.1390951107313385,1.1391154023866308
533.12,0.0,-1.1390737499177817,1.1390940415730735
533.14,0.0,-1.1390523704777744,1.139072680759517
533.16,0.0,-1.1390310096642176,1.1390513013195094
533.1800000000001,0.0,-1.1390096525759508,1.139029944231243
533.2,0.0,-1.1389882954876842,1.139008583417686
533.22,0.0,-1.1389669346741274,1.1389872263294194
533.24,0.0,-1.138945577585861,1.1389658692411526
533.26,0.0,-1.138924220497594,1.138944508427596
533.28,0.0,-1.1389028596840374,1.138923151339329
533.3,0.0,-1.1388815025957706,1.1389017942510624
533.32,0.0,-1.1388601455075043,1.1388804334375058
533.34,0.0,-1.1388387846939472,1.1388590763492392
533.36,0.0,-1.1388174387815506,1.1388377192609724
533.38,0.0,-1.1387960928691545,1.1388163696232858
533.4,0.0,-1.1387747357808877,1.1387950274361798
533.42,0.0,-1.1387533898684918,1.138773666622623
533.44,0.0,-1.1387320439560948,1.1387523244355169
533.46,0.0,-1.1387106980436987,1.1387309747978303
533.48,0.0,-1.1386893521313026,1.138709632610724
533.5,0.0,-1.1386680099441964,1.1386882829730378
533.52,0.0,-1.1386466640318003,1.1386669445112216
533.54,0.0,-1.138625325569984,1.1386455948735352
533.5600000000001,0.0,-1.138603987108168,1.1386242601370096
533.58,0.0,-1.1385826449210616,1.1386029179499026
533.6,0.0,-1.1385613064592457,1.138581579488087
533.62,0.0,-1.1385399717227198,1.138560241026271
533.64,0.0,-1.138518636986194,1.138538902564455
533.66,0.0,-1.1384973022496678,1.1385175715532192
533.6800000000001,0.0,-1.138475971238432,1.1384962368166933
533.7,0.0,-1.1384546402271962,1.1384749020801672
533.72,0.0,-1.1384333092159604,1.1384535747942213
533.74,0.0,-1.1384119819300147,1.1384322437829855
533.76,0.0,-1.1383906471934888,1.1384109127717497
533.78,0.0,-1.1383693273581235,1.138389581760514
533.8,0.0,-1.1383480000721775,1.1383682619251487
533.82,0.0,-1.1383266727862318,1.138346934639203
533.84,0.0,-1.1383053529508664,1.1383256036279668
533.86,0.0,-1.1382840293902108,1.1383042875178915
533.88,0.0,-1.1382627058295554,1.1382829639572363
533.9,0.0,-1.13824138599419,1.1382616403965806
533.92,0.0,-1.1382200736094048,1.138240320561215
533.94,0.0,-1.1381987537740395,1.13821900817643
533.96,0.0,-1.1381774376639637,1.1381976883410645
533.98,0.0,-1.1381561215538882,1.1381763685056991
534.0,0.0,-1.138134809169103,1.1381550561209137
534.02,0.0,-1.1381134967843178,1.1381337437361283
534.04,0.0,-1.138092188124823,1.138112431351343
534.0600000000001,0.0,-1.1380708720147474,1.1380911226918482
534.08,0.0,-1.1380495633552525,1.1380698065817727
534.1,0.0,-1.1380282584210475,1.1380484979222778
534.12,0.0,-1.1380069534868427,1.1380271929880728
534.14,0.0,-1.1379856448273475,1.138005888053868
534.16,0.0,-1.1379643436184328,1.1379845793943728
534.1800000000001,0.0,-1.1379430386842275,1.1379632781854578
534.2,0.0,-1.1379217374753126,1.137941976976543
534.22,0.0,-1.1379004362663978,1.137920672042338
534.24,0.0,-1.1378791387827731,1.137899370833423
534.26,0.0,-1.1378578412991485,1.1378780733497982
534.28,0.0,-1.1378365438155236,1.1378567758661735
534.3,0.0,-1.137815246331899,1.1378354783825488
534.32,0.0,-1.1377939525735645,1.1378141808989242
534.34,0.0,-1.1377726588152297,1.1377928908658796
534.36,0.0,-1.1377513725074755,1.137771593382255
534.38,0.0,-1.1377300750238508,1.1377503070745008
534.4,0.0,-1.1377087849908063,1.1377290095908759
534.42,0.0,-1.1376874986830519,1.1377077232831214
534.44,0.0,-1.1376662123752976,1.1376864332500771
534.46,0.0,-1.1376449260675432,1.1376651469423227
534.48,0.0,-1.137623636034499,1.1376438606345685
534.5,0.0,-1.137602360902615,1.137622574326814
534.52,0.0,-1.1375810745948605,1.13760129546964
534.54,0.0,-1.1375597920123963,1.1375800091618857
