station:,LASCON_PC_local
process:,12222
workpiece code:,-
date:,11.10.2021
start:,10:08:43
duration:,56.271 s
PI:,456.53 %s
scriptno.:,-
error:,-

time,ATemp,STemp,CtrlOut,CtrlNr
14.040000,416.9,415.0,8.5,1
14.060000,416.1,415.0,8.2,1
14.080000,416.3,415.0,8.2,1
14.100000,415.4,415.0,8.1,1
14.120000,414.3,415.0,8.6,1
14.140000,414.8,415.0,7.9,1
14.160000,416.7,415.0,8.2,1
14.180000,414.0,415.0,8.5,1
14.200000,416.4,415.0,8.3,1
14.220000,413.5,415.0,8.2,1
14.240000,414.9,415.0,8.1,1
14.260000,415.5,415.0,8.4,1
14.280000,414.4,415.0,8.3,1
14.300000,414.4,415.0,8.2,1
14.320000,414.8,415.0,8.2,1
14.340000,413.7,415.0,8.2,1
14.360000,416.1,415.0,8.4,1
14.380000,413.3,415.0,8.2,1
14.400000,415.5,415.0,8.6,1
14.420000,415.8,415.0,8.0,1
14.440000,415.0,415.0,8.1,1
14.460000,416.1,415.0,8.4,1
14.480000,414.8,415.0,8.2,1
14.500000,415.1,415.0,8.3,1
14.520000,415.2,415.0,8.4,1
14.540000,415.1,415.0,8.4,1
14.560000,416.7,415.0,8.3,1
14.580000,412.4,415.0,8.0,1
14.600000,413.8,415.0,8.6,1
14.620000,416.2,415.0,8.6,1
14.640000,416.1,415.0,7.8,1
14.660000,415.2,415.0,8.0,1
14.680000,414.2,415.0,8.5,1
14.700000,414.6,415.0,8.2,1
14.720000,416.3,415.0,8.5,1
14.740000,414.2,415.0,8.3,1
14.760000,415.2,415.0,8.4,1
14.780000,413.0,415.0,8.1,1
14.800000,414.9,415.0,8.1,1
14.820000,414.5,415.0,8.5,1
14.840000,413.5,415.0,8.4,1
14.860000,415.0,415.0,8.6,1
14.880000,414.5,415.0,7.9,1
14.900000,417.5,415.0,8.0,1
14.920000,411.4,415.0,8.5,1
14.940000,413.7,415.0,8.5,1
14.960000,415.8,415.0,8.3,1
14.980000,413.0,415.0,8.0,1
15.000000,416.8,415.0,8.4,1
15.020000,414.5,415.0,8.3,1
15.040000,414.1,415.0,8.2,1
15.060000,417.2,415.0,8.3,1
15.080000,414.9,415.0,8.3,1
15.100000,413.4,415.0,8.2,1
15.120000,414.7,415.0,8.3,1
15.140000,415.4,415.0,7.9,1
15.160000,414.3,415.0,8.6,1
15.180000,414.4,415.0,8.3,1
